targetAmount,raisedAmount,supporters,targetDate
500000.0,4657230.0,4403,2023-11-10
500000.0,5815153.0,5486,2023-11-10
500000.0,3744298.0,3402,2023-11-10
500000.0,3538394.0,3176,2023-11-10
500000.0,5414382.0,5063,2023-11-10
500000.0,5942262.0,5611,2023-11-10
500000.0,5704700.0,5362,2023-11-10
500000.0,5968477.0,5634,2023-11-10
500000.0,5579063.0,5222,2023-11-10
500000.0,5488571.0,5153,2023-11-10
500000.0,5743174.0,5397,2023-11-10
500000.0,5671427.0,5317,2023-11-10
500000.0,5954752.0,5621,2023-11-10
500000.0,5066113.0,4920,2023-11-10
500000.0,5828924.0,5502,2023-11-10
500000.0,5992953.0,5657,2023-11-10
500000.0,5922006.0,5595,2023-11-10
500000.0,5413651.0,5061,2023-11-10
500000.0,5817050.0,5491,2023-11-10
500000.0,5872888.0,5543,2023-11-10
500000.0,5490850.0,5155,2023-11-10
500000.0,5704700.0,5362,2023-11-10
500000.0,5812247.0,5482,2023-11-10
500000.0,5660045.0,5306,2023-11-10
500000.0,5783415.0,5449,2023-11-10
500000.0,5711068.0,5367,2023-11-10
500000.0,5509546.0,5175,2023-11-10
500000.0,5651746.0,5298,2023-11-10
500000.0,5598985.0,5240,2023-11-10
500000.0,5606048.0,5245,2023-11-10
500000.0,6020343.0,5677,2023-11-10
500000.0,5975020.0,5643,2023-11-10
500000.0,5490576.0,5154,2023-11-10
500000.0,5638705.0,5285,2023-11-10
500000.0,5733504.0,5385,2023-11-10
500000.0,5593886.0,5232,2023-11-10
500000.0,5135626.0,5018,2023-11-10
500000.0,5493157.0,5159,2023-11-10
500000.0,5866630.0,5537,2023-11-10
500000.0,6021962.0,5678,2023-11-10
500000.0,5890530.0,5560,2023-11-10
500000.0,5482421.0,5143,2023-11-10
500000.0,5130203.0,5012,2023-11-10
500000.0,5816565.0,5490,2023-11-10
500000.0,5142936.0,5024,2023-11-10
500000.0,5816080.0,5489,2023-11-10
500000.0,4721268.0,4480,2023-11-10
500000.0,5731739.0,5382,2023-11-10
500000.0,5818952.0,5495,2023-11-10
500000.0,5535906.0,5186,2023-11-10
500000.0,5891748.0,5564,2023-11-10
500000.0,3746957.0,3404,2023-11-10
500000.0,5640282.0,5288,2023-11-10
500000.0,6000087.0,5662,2023-11-10
500000.0,5476115.0,5128,2023-11-10
500000.0,5941221.0,5610,2023-11-10
500000.0,5818467.0,5494,2023-11-10
500000.0,5143924.0,5026,2023-11-10
500000.0,5502619.0,5167,2023-11-10
500000.0,5879104.0,5551,2023-11-10
500000.0,5975020.0,5643,2023-11-10
500000.0,5610615.0,5252,2023-11-10
500000.0,5844550.0,5514,2023-11-10
500000.0,5756134.0,5416,2023-11-10
500000.0,6017768.0,5674,2023-11-10
500000.0,5143924.0,5026,2023-11-10
500000.0,5145968.0,5029,2023-11-10
500000.0,5981321.0,5647,2023-11-10
500000.0,5750726.0,5409,2023-11-10
500000.0,5776780.0,5442,2023-11-10
500000.0,5760360.0,5423,2023-11-10
500000.0,5866383.0,5537,2023-11-10
500000.0,5675196.0,5324,2023-11-10
500000.0,5072500.0,4930,2023-11-10
500000.0,5702997.0,5361,2023-11-10
500000.0,5704381.0,5362,2023-11-10
500000.0,5768362.0,5435,2023-11-10
500000.0,6000087.0,5662,2023-11-10
500000.0,5757261.0,5418,2023-11-10
500000.0,5660364.0,5306,2023-11-10
500000.0,5731420.0,5382,2023-11-10
500000.0,5650243.0,5297,2023-11-10
500000.0,5046627.0,4887,2023-11-10
500000.0,5961739.0,5629,2023-11-10
500000.0,5469379.0,5122,2023-11-10
500000.0,5143924.0,5026,2023-11-10
500000.0,5702268.0,5360,2023-11-10
500000.0,5866719.0,5538,2023-11-10
500000.0,5752292.0,5411,2023-11-10
500000.0,6015885.0,5674,2023-11-10
500000.0,5677853.0,5328,2023-11-10
500000.0,5147141.0,5032,2023-11-10
500000.0,5488252.0,5153,2023-11-10
500000.0,5818952.0,5495,2023-11-10
500000.0,5809360.0,5480,2023-11-10
500000.0,5671427.0,5317,2023-11-10
500000.0,5818952.0,5495,2023-11-10
500000.0,5878751.0,5549,2023-11-10
500000.0,5979931.0,5646,2023-11-10
500000.0,5477076.0,5130,2023-11-10
500000.0,5604664.0,5244,2023-11-10
500000.0,5534990.0,5184,2023-11-10
500000.0,5760360.0,5423,2023-11-10
500000.0,5744815.0,5400,2023-11-10
500000.0,5488571.0,5153,2023-11-10
500000.0,5546379.0,5195,2023-11-10
500000.0,5584289.0,5225,2023-11-10
500000.0,5445798.0,5098,2023-11-10
500000.0,5108944.0,4988,2023-11-10
500000.0,5733989.0,5386,2023-11-10
500000.0,5890849.0,5560,2023-11-10
500000.0,5632306.0,5279,2023-11-10
500000.0,5940744.0,5610,2023-11-10
500000.0,5415902.0,5063,2023-11-10
500000.0,5508938.0,5174,2023-11-10
500000.0,5812521.0,5483,2023-11-10
500000.0,5920276.0,5591,2023-11-10
500000.0,5744330.0,5399,2023-11-10
500000.0,5610067.0,5250,2023-11-10
500000.0,5938739.0,5609,2023-11-10
500000.0,5614125.0,5255,2023-11-10
500000.0,5696799.0,5355,2023-11-10
500000.0,5617241.0,5262,2023-11-10
500000.0,5509546.0,5175,2023-11-10
500000.0,5796991.0,5461,2023-11-10
500000.0,5736568.0,5389,2023-11-10
500000.0,5659858.0,5306,2023-11-10
500000.0,3510405.0,3151,2023-11-10
500000.0,5656805.0,5303,2023-11-10
500000.0,3781903.0,3441,2023-11-10
