raisedAmount,supporters,timestamp
6355733.0,6042,2023-10-29 16:16:04
6231360.0,5908,2023-10-28 12:49:04
6226854.0,5900,2023-10-28 11:50:04
7259309.0,6920,2023-11-07 17:40:04
6101349.0,5757,2023-10-26 16:26:07
7020852.0,6617,2023-11-05 19:45:05
7482273.0,7074,2023-11-08 08:47:05
6196224.0,5868,2023-10-27 22:36:04
5148832.0,5032,2023-10-10 08:24:03
5872819.0,5543,2023-10-21 00:07:03
5812795.0,5484,2023-10-19 17:34:05
5773540.0,5439,2023-10-18 11:29:04
5962171.0,5630,2023-10-24 13:34:03
6538067.0,6266,2023-10-31 23:10:04
4731772.0,4495,2023-10-08 21:07:04
6533399.0,6256,2023-10-31 20:20:05
4847103.0,4650,2023-10-08 22:24:04
5675196.0,5324,2023-10-15 17:46:04
7593245.0,7169,2023-11-08 15:48:05
7020735.0,6619,2023-11-05 21:21:05
5639204.0,5286,2023-10-14 13:53:04
5617834.0,5263,2023-10-13 18:28:04
6557773.0,6281,2023-11-01 12:30:05
7397914.0,7000,2023-11-07 22:08:06
6522447.0,6247,2023-10-31 15:21:06
8662846.0,8431,2023-11-11 09:30:04
5891748.0,5564,2023-10-21 22:11:04
5138702.0,5020,2023-10-09 23:19:04
7512067.0,7095,2023-11-08 10:32:05
7800326.0,7412,2023-11-09 16:47:05
6021962.0,5678,2023-10-25 17:02:05
5488571.0,5153,2023-10-11 16:03:05
7267373.0,6931,2023-11-07 18:38:06
5405730.0,5055,2023-10-10 14:42:03
5660177.0,5306,2023-10-14 20:30:04
5760070.0,5423,2023-10-17 21:38:03
4830483.0,4630,2023-10-08 22:19:03
6076337.0,5723,2023-10-26 05:00:04
6087555.0,5738,2023-10-26 11:49:04
6494843.0,6209,2023-10-30 17:37:05
5965360.0,5632,2023-10-24 13:47:04
5753584.0,5412,2023-10-17 17:19:05
6514225.0,6236,2023-10-31 09:45:05
7182250.0,6823,2023-11-07 04:15:05
5866719.0,5538,2023-10-20 19:39:04
6144117.0,5798,2023-10-27 12:38:05
7459699.0,7050,2023-11-08 02:18:05
6526356.0,6251,2023-10-31 17:58:06
6881510.0,6462,2023-11-04 03:45:05
6303584.0,5982,2023-10-29 10:34:04
5979931.0,5646,2023-10-24 19:11:03
5671427.0,5317,2023-10-15 13:41:03
8662846.0,8431,2023-11-11 05:49:04
6119706.0,5773,2023-10-26 21:14:05
6749160.0,6332,2023-11-02 10:42:05
6033231.0,5690,2023-10-25 18:26:05
6523010.0,6248,2023-10-31 15:58:05
6139259.0,5793,2023-10-27 11:28:05
6254854.0,5934,2023-10-28 17:35:04
6268493.0,5945,2023-10-28 20:30:04
6086247.0,5736,2023-10-26 10:50:05
7599450.0,7174,2023-11-08 16:23:05
6153206.0,5812,2023-10-27 15:03:05
6870741.0,6446,2023-11-03 20:37:05
7477502.0,7073,2023-11-08 08:18:06
6862679.0,6437,2023-11-03 18:16:05
6426548.0,6128,2023-10-29 21:27:04
7765602.0,7366,2023-11-09 13:53:05
7772804.0,7378,2023-11-09 14:35:06
5804646.0,5472,2023-10-19 09:44:05
6869111.0,6445,2023-11-03 20:00:04
5702587.0,5361,2023-10-16 14:21:04
8663922.0,8431,2023-11-11 11:52:05
6251250.0,5929,2023-10-28 16:09:05
6489169.0,6201,2023-10-30 15:26:05
6087555.0,5738,2023-10-26 11:46:04
5831000.0,5505,2023-10-20 09:50:05
5488571.0,5153,2023-10-11 15:20:05
4724127.0,4484,2023-10-08 20:56:04
5983326.0,5648,2023-10-24 21:27:04
5131208.0,5015,2023-10-09 21:46:04
7036039.0,6637,2023-11-06 01:00:05
5769244.0,5436,2023-10-18 10:36:05
5974941.0,5642,2023-10-24 16:49:05
6711392.0,6318,2023-11-01 21:47:06
