DateTime,RaisedAmount
2023-10-07 11:12:27,3367981.0
2023-10-07 11:13:12,3369090.0
2023-10-07 11:21:20,3373265.0
2023-10-07 11:24:33,3373784.0
2023-10-07 11:25:38,3374234.0
2023-10-07 11:26:42,3375734.0
2023-10-07 11:27:46,3378783.0
2023-10-07 11:28:50,3379633.0
2023-10-07 11:30:59,3381583.0
2023-10-07 11:33:08,3383533.0
2023-10-07 11:34:12,3386592.0
2023-10-07 11:35:16,3387042.0
2023-10-07 11:38:29,3387892.0
2023-10-07 11:39:33,3391020.0
2023-10-07 11:41:42,3391870.0
2023-10-07 11:42:46,3389661.0
2023-10-07 11:43:50,3391870.0
2023-10-07 11:44:54,3392720.0
2023-10-07 11:45:59,3393170.0
2023-10-07 11:47:03,3394020.0
2023-10-07 11:48:08,3394358.0
2023-10-07 12:14:49,3421534.0
2023-10-07 12:19:39,3425502.0
2023-10-07 12:22:54,3428571.0
2023-10-07 12:23:58,3429280.0
2023-10-07 12:24:34,3429730.0
2023-10-07 12:25:49,3429979.0
2023-10-07 12:26:39,3430048.0
2023-10-07 12:28:23,3430498.0
2023-10-07 12:30:07,3432707.0
2023-10-07 12:30:29,3433157.0
2023-10-07 12:36:48,3436407.0
2023-10-07 12:37:30,3439325.0
2023-10-07 12:37:55,3440244.0
2023-10-07 12:39:54,3441094.0
2023-10-07 12:47:05,3441592.0
2023-10-07 12:48:06,3445942.0
2023-10-07 12:49:07,3446651.0
2023-10-07 12:50:08,3446402.0
2023-10-07 12:51:09,3448421.0
2023-10-07 12:54:13,3451871.0
2023-10-07 12:55:14,3454080.0
2023-10-07 12:57:16,3454169.0
2023-10-07 12:58:17,3457819.0
2023-10-07 13:01:20,3459319.0
2023-10-07 13:02:22,3460428.0
2023-10-07 13:03:23,3462637.0
2023-10-07 13:05:25,3465696.0
2023-10-07 13:07:27,3467715.0
2023-10-07 13:08:28,3468565.0
2023-10-07 13:11:32,3470334.0
2023-10-07 13:13:34,3471811.0
2023-10-07 13:14:35,3472261.0
2023-10-07 13:15:36,3472711.0
2023-10-07 13:16:38,3474661.0
2023-10-07 13:17:39,3475511.0
2023-10-07 13:18:40,3477911.0
2023-10-07 13:19:41,3479861.0
2023-10-07 13:20:42,3482989.0
2023-10-07 13:21:43,3483078.0
2023-10-07 13:23:45,3485028.0
2023-10-07 13:24:47,3485878.0
2023-10-07 13:30:02,3486127.0
2023-10-07 13:32:10,3487686.0
2023-10-07 13:32:50,3487775.0
2023-10-07 13:33:36,3488034.0
2023-10-07 13:34:33,3489983.0
2023-10-07 13:35:42,3490242.0
2023-10-07 13:36:51,3490560.0
2023-10-07 13:37:52,3491010.0
2023-10-07 13:38:53,3492710.0
2023-10-07 13:40:55,3493560.0
2023-10-07 13:43:58,3493809.0
2023-10-07 13:44:59,3494918.0
2023-10-07 13:48:05,3496707.0
2023-10-07 13:51:08,3498335.0
2023-10-07 13:52:09,3500544.0
2023-10-07 13:53:10,3500793.0
2023-10-07 13:56:13,3501243.0
2023-10-07 13:58:15,3501312.0
2023-10-07 13:59:16,3501762.0
2023-10-07 14:00:17,3502662.0
2023-10-07 14:01:18,3505321.0
2023-10-07 14:02:19,3506089.0
2023-10-07 14:03:20,3508298.0
2023-10-07 14:05:21,3509148.0
2023-10-07 14:06:22,3509466.0
2023-10-07 14:07:23,3510316.0
2023-10-07 14:08:24,3510405.0
2023-10-07 14:09:25,3511255.0
2023-10-07 14:12:28,3510664.0
2023-10-07 14:13:28,3511964.0
2023-10-07 14:14:29,3512814.0
2023-10-07 14:15:30,3515364.0
2023-10-07 14:16:31,3517764.0
2023-10-07 14:17:32,3519714.0
2023-10-07 14:19:34,3519963.0
2023-10-07 14:23:37,3521782.0
2023-10-07 14:24:37,3523732.0
2023-10-07 14:25:38,3524582.0
2023-10-07 14:26:39,3524841.0
2023-10-07 14:28:41,3525760.0
2023-10-07 14:29:42,3527129.0
2023-10-07 14:31:44,3528829.0
2023-10-07 14:33:18,3529088.0
2023-10-07 14:34:19,3530007.0
2023-10-07 14:37:22,3532026.0
2023-10-07 14:39:24,3532285.0
2023-10-07 14:40:25,3534235.0
2023-10-07 14:43:27,3536444.0
2023-10-07 14:44:29,3538394.0
2023-10-07 14:52:35,3540344.0
2023-10-07 14:54:37,3542553.0
2023-10-07 14:57:40,3542891.0
2023-10-07 14:58:41,3543341.0
2023-10-07 14:59:41,3543689.0
2023-10-07 15:00:42,3543758.0
